"player","statCategory","dkLine","probabilityOver","probabilityUnder","moreDraftableId","lessDraftableId","summaryMore","summaryLess","maxProb","etrLine","diff","percentageDiff","etrPoints","etrAssists","etrRebounds","etrThreePtMade","etrTurnovers","etrSteals","etrBlocks","etrMinutes","etrPosition","etrTeam","etrOpponent"
"Franz Wagner","Points",19.5,"0.389","0.611",50563438,50563439,"50563438: Franz Wagner / OVER 19.5 Points / 38.9%","50563439: Franz Wagner / UNDER 19.5 Points / 61.1%",0.611,18,-1.5,-0.07692307692307693,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Franz Wagner","Assists",3.5,"0.555","0.445",50563460,50563461,"50563460: Franz Wagner / OVER 3.5 Assists / 55.5%","50563461: Franz Wagner / UNDER 3.5 Assists / 44.5%",0.5552,4,0.5,0.14285714285714285,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Franz Wagner","Points + Assists",22.5,"0.446","0.554",50567740,50567741,"50567740: Franz Wagner / OVER 22.5 Points + Assists / 44.6%","50567741: Franz Wagner / UNDER 22.5 Points + Assists / 55.4%",0.5538,22,-0.5,-0.022222222222222223,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Franz Wagner","Points + Rebounds",24.5,"0.409","0.591",50567754,50567755,"50567754: Franz Wagner / OVER 24.5 Points + Rebounds / 40.9%","50567755: Franz Wagner / UNDER 24.5 Points + Rebounds / 59.1%",0.5909,23.2,-1.3000000000000007,-0.053061224489795944,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Franz Wagner","Assists + Rebounds",8.5,"0.542","0.458",50572258,50572259,"50572258: Franz Wagner / OVER 8.5 Assists + Rebounds / 54.2%","50572259: Franz Wagner / UNDER 8.5 Assists + Rebounds / 45.8%",0.5424,9.2,0.6999999999999993,0.0823529411764705,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Franz Wagner","Points + Assists + Rebounds",28.5,"0.416","0.584",50570232,50570233,"50570232: Franz Wagner / OVER 28.5 Points + Assists + Rebounds / 41.6%","50570233: Franz Wagner / UNDER 28.5 Points + Assists + Rebounds / 58.4%",0.5841,27.2,-1.3000000000000007,-0.04561403508771932,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Franz Wagner","Turnovers",1.5,"0.619","0.381",50573240,50573241,"50573240: Franz Wagner / OVER 1.5 Turnovers / 61.9%","50573241: Franz Wagner / UNDER 1.5 Turnovers / 38.1%",0.619,2.15,0.6499999999999999,0.4333333333333333,18,4,5.2,1.4,2.15,0.95,0.35,32.5,"SF/PF","ORL","MIA"
"Paolo Banchero","Points",21.5,"0.424","0.576",50571210,50571211,"50571210: Paolo Banchero / OVER 21.5 Points / 42.4%","50571211: Paolo Banchero / UNDER 21.5 Points / 57.6%",0.5755,20.7,-0.8000000000000007,-0.03720930232558143,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
"Paolo Banchero","Assists",5.5,"0.526","0.474",50563452,50563453,"50563452: Paolo Banchero / OVER 5.5 Assists / 52.6%","50563453: Paolo Banchero / UNDER 5.5 Assists / 47.4%",0.5257000000000001,5.9,0.40000000000000036,0.0727272727272728,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
"Paolo Banchero","Rebounds",7.5,"0.404","0.596",50563456,50563457,"50563456: Paolo Banchero / OVER 7.5 Rebounds / 40.4%","50563457: Paolo Banchero / UNDER 7.5 Rebounds / 59.6%",0.5957,7,-0.5,-0.06666666666666667,20.7,5.9,7,1.46,2.99,0.87,0.62,34.5,"PF/SF","ORL","MIA"
